16974,Loft in New York 4 bedrooms 6 beds 2 baths,65837,Entire home/apt,250,30,92,40.8019,-73.93762,24,365,https://www.airbnb.com/rooms/16974,8,2,6
17037,Rental unit in New York 1 bedroom 1 bed 1 bath,66035,Entire home/apt,220,30,95,40.72289,-73.98028,25,90,https://www.airbnb.com/rooms/17037,2,1,1
18152,Rental unit in New York 2 bedrooms 1 bed 1 shared bath,69942,Private room,500,30,318,40.76967,-73.94831,26,30,https://www.airbnb.com/rooms/18152,2,1,1
18198,Condo in Queens 1 bedroom 1 bed 1 shared bath,70091,Private room,65,30,343,40.74884,-73.90536,27,365,https://www.airbnb.com/rooms/18198,1,1,1
18728,Loft in New York 1 bedroom 1 bed 1.5 baths,71876,Private room,133,30,56,40.74261,-74.00353,28,60,https://www.airbnb.com/rooms/18728,3,1.5,1
18961,Rental unit in New York 1 bedroom 1 bed 1 bath,70857,Private room,95,30,165,40.73808,-73.98001,29,180,https://www.airbnb.com/rooms/18961,2,1,1
19812,Rental unit in Brooklyn 1 bedroom 1 bed 1 bath,74857,Entire home/apt,105,30,337,40.71802,-73.95724,30,90,https://www.airbnb.com/rooms/19812,2,1,1
20913,Rental unit in Brooklyn 1 bedroom 1 bed 1 bath,79402,Entire home/apt,,30,337,40.70967,-73.95922,31,365,https://www.airbnb.com/rooms/20913,2,1,1
21644,Rental unit in New York 1 bedroom 1 bed 1 shared bath,82685,Private room,99,30,139,40.82782,-73.9473,32,60,https://www.airbnb.com/rooms/21644,1,1,1
21794,Rental unit in New York 1 bedroom 1 bed 1 shared bath,83257,Private room,85,30,56,40.74187,-74.00223,33,1125,https://www.airbnb.com/rooms/21794,2,1,1
23135,Rental unit in Brooklyn 1 bedroom 1 bed 1 private bath,11481,Private room,200,30,50,40.67747,-74.00146,34,60,https://www.airbnb.com/rooms/23135,2,1,1
23686,Home in New York 3 bedrooms 3 beds 2 baths,93790,Entire home/apt,600,30,331,40.72961,-74.00308,35,120,https://www.airbnb.com/rooms/23686,4,2,3
24285,Rental unit in Brooklyn 4 bedrooms 6 beds 3 baths,97797,Entire home/apt,220,30,236,40.67115,-73.98026,36,180,https://www.airbnb.com/rooms/24285,5,3,6
25406,Rental unit in Brooklyn 1 bedroom 2 beds 1 bath,105538,Entire home/apt,,30,337,40.71649,-73.94865,37,100,https://www.airbnb.com/rooms/25406,4,1,2
26785,Rental unit in Brooklyn 1 bedroom 1 bed 1 bath,42273,Entire home/apt,90,30,283,40.6686,-73.98723,38,365,https://www.airbnb.com/rooms/26785,2,1,1
27883,Rental unit in New York Studio 2 beds 1 bath,120223,Entire home/apt,100,30,95,40.72421,-73.98509,39,365,https://www.airbnb.com/rooms/27883,3,1,2
28907,Rental unit in New York 1 bedroom 2 beds 1 bath,124352,Entire home/apt,150,30,318,40.77827,-73.94669,40,30,https://www.airbnb.com/rooms/28907,4,1,2
29013,Rental unit in Brooklyn 1 bedroom 1 bed 1 shared bath,35935,Private room,90,30,19,40.68288,-73.95646,41,730,https://www.airbnb.com/rooms/29013,2,1,1
29628,Condo in Brooklyn 1 bedroom 1 bed 1 shared bath,127608,Private room,103,3,66,40.68292,-73.96381,42,60,https://www.airbnb.com/rooms/29628,2,1,1
29683,Rental unit in New York 1 bedroom 1 bed 1 bath,125857,Entire home/apt,185,30,183,40.72314,-73.99108,43,1125,https://www.airbnb.com/rooms/29683,3,1,1
31130,Condo in New York 1 bedroom 1 bed 1 bath,117287,Entire home/apt,154,30,140,40.7672,-73.98464,44,360,https://www.airbnb.com/rooms/31130,1,1,1
31555,Rental unit in New York Studio 1 bed 1 bath,135619,Entire home/apt,,30,331,40.73405,-74.00281,45,59,https://www.airbnb.com/rooms/31555,2,1,1
31902,Home in Brooklyn 3 bedrooms 1 bed 1 shared bath,137292,Private room,80,30,90,40.6327,-73.93184,46,90,https://www.airbnb.com/rooms/31902,2,1,1
31994,Rental unit in Brooklyn 1 bedroom 1 bed 1 private bath,137814,Private room,95,2,66,40.68818,-73.96383,47,365,https://www.airbnb.com/rooms/31994,2,1,1
32037,Condo in Brooklyn 1 bedroom 2 beds 1.5 baths,116599,Private room,139,30,66,40.68513,-73.96648,48,730,https://www.airbnb.com/rooms/32037,3,1.5,2
33009,Rental unit in Brooklyn 1 bedroom 1 bed 1 bath,143027,Entire home/apt,195,30,337,40.71512,-73.95899,49,90,https://www.airbnb.com/rooms/33009,2,1,1
34760,Townhouse in Brooklyn 1 bedroom 1 bed 2 shared baths,149929,Private room,75,30,117,40.69101,-73.97378,50,60,https://www.airbnb.com/rooms/34760,1,2,1
36121,Rental unit in Brooklyn 1 bedroom 1 bed 1 shared bath,62165,Private room,200,90,246,40.67376,-73.96611,51,365,https://www.airbnb.com/rooms/36121,1,1,1
38663,Home in Brooklyn 5 bedrooms 5 beds 2.5 baths,165789,Entire home/apt,900,30,30,40.68442,-73.98068,52,60,https://www.airbnb.com/rooms/38663,2,2.5,5
38833,Rental unit in New York 1 bedroom 1 bed 1 bath,166532,Entire home/apt,147,3,139,40.81806,-73.94667,53,1125,https://www.airbnb.com/rooms/38833,2,1,1
39282,Rental unit in Brooklyn 1 bedroom 1 bed 1 shared bath,168525,Private room,152,30,337,40.71065,-73.95087,54,45,https://www.airbnb.com/rooms/39282,2,1,1
39572,Rental unit in New York 1 bedroom 1 bed,169927,Private room,139,30,140,40.76203,-73.98869,55,1125,https://www.airbnb.com/rooms/39572,2,,1
39593,Rental unit in Long Island City 1 bedroom 1 bed 1 bath,110506,Entire home/apt,78,30,300,40.74523,-73.92318,56,180,https://www.airbnb.com/rooms/39593,2,1,1
42300,Loft in New York 3 bedrooms 4 beds 2 baths,184755,Entire home/apt,750,30,183,40.71992,-73.99167,57,240,https://www.airbnb.com/rooms/42300,5,2,4
42729,Townhouse in Brooklyn 1 bedroom 1 bed 1 private bath,11481,Private room,185,30,50,40.67813,-74.00062,58,60,https://www.airbnb.com/rooms/42729,2,1,1
42882,Rental unit in Staten Island 1 bedroom 1 bed 1 shared bath,185978,Private room,70,30,291,40.64633,-74.08156,59,90,https://www.airbnb.com/rooms/42882,2,1,1
43105,Rental unit in New York 1 bedroom 1 bed 1 bath,188082,Entire home/apt,170,30,205,40.7449,-73.98499,60,365,https://www.airbnb.com/rooms/43105,2,1,1
44229,Home in Brooklyn 1 bedroom 1 bed 1 bath,181376,Private room,110,30,117,40.69287,-73.97108,61,30,https://www.airbnb.com/rooms/44229,2,1,1
44973,Rental unit in Brooklyn Studio 1 bath,198411,Entire home/apt,98,30,337,40.70894,-73.95234,62,180,https://www.airbnb.com/rooms/44973,2,1,0
45542,Rental unit in New York 2 bedrooms 2 beds 1 bath,202249,Entire home/apt,,30,139,40.82569,-73.93842,63,1125,https://www.airbnb.com/rooms/45542,4,1,2
45737,Rental unit in New York 1 bedroom 1 bed 1 bath,203444,Private room,59,30,331,40.73948,-74.00504,64,365,https://www.airbnb.com/rooms/45737,2,1,1
45910,Townhouse in Queens 5 bedrooms 10 beds 2.5 baths,204539,Entire home/apt,500,30,258,40.70309,-73.89963,65,730,https://www.airbnb.com/rooms/45910,16,2.5,10
45935,Rental unit in Bronx 1 bedroom 1 bed 1 shared bath,204586,Private room,60,30,213,40.80635,-73.92201,66,40,https://www.airbnb.com/rooms/45935,1,1,1
45936,Bed and breakfast in New York 1 bedroom 1 bed 1 shared,867225,Private room,98,31,209,40.8063,-73.95985,67,730,https://www.airbnb.com/rooms/45936,2,1,1
46911,Home in Brooklyn 1 bedroom 1 bed 1 shared bath,210746,Private room,102,30,246,40.68022,-73.97457,68,1125,https://www.airbnb.com/rooms/46911,2,1,1
49048,Home in Brooklyn 1 bedroom 2 beds 2 baths,35935,Private room,95,30,19,40.6829,-73.95701,69,365,https://www.airbnb.com/rooms/49048,3,2,2
51438,Rental unit in New York 1 bedroom 1 bed 1 bath,236421,Private room,,30,318,40.77449,-73.95308,70,31,https://www.airbnb.com/rooms/51438,1,1,1
52689,Guest suite in Astoria 2 bedrooms 2 beds 1 private bath,244071,Private room,180,30,81,40.77868,-73.90652,71,1125,https://www.airbnb.com/rooms/52689,2,1,2
53469,Guesthouse in Queens 1 bedroom 1 bed 1 bath,204539,Entire home/apt,130,30,199,40.71567,-73.87842,72,365,https://www.airbnb.com/rooms/53469,4,1,1
53470,Rental unit in Queens 2 bedrooms 3 beds 1 bath,204539,Entire home/apt,248,30,258,40.70422,-73.89778,73,730,https://www.airbnb.com/rooms/53470,7,1,3
53477,Townhouse in Queens 4 bedrooms 8 beds 2 baths,204539,Entire home/apt,350,30,199,40.71778,-73.87714,74,730,https://www.airbnb.com/rooms/53477,12,2,8
54466,Rental unit in New York 1 bedroom 1 bed 1 bath,253385,Private room,200,30,139,40.80255,-73.95803,75,60,https://www.airbnb.com/rooms/54466,2,1,1
54508,Guest suite in Brooklyn 1 bedroom 1 bed 1.5 shared baths,210746,Private room,95,30,236,40.67908,-73.97405,76,1125,https://www.airbnb.com/rooms/54508,2,1.5,1
54544,Rental unit in New York 1 bedroom 4 beds 1 bath,256161,Entire home/apt,190,30,139,40.81182,-73.94631,77,60,https://www.airbnb.com/rooms/54544,5,1,4
54694,Home in Queens 1 bedroom 1 bed 1 shared bath,27848,Private room,65,30,159,40.67144,-73.76501,78,365,https://www.airbnb.com/rooms/54694,2,1,1
54860,Rental unit in New York 1 bedroom 1 bed 1 private bath,258164,Private room,125,30,92,40.79934,-73.94236,79,30,https://www.airbnb.com/rooms/54860,2,1,1
55959,Rental unit in Brooklyn 1 bedroom 1 bed 1 shared bath,168525,Private room,150,30,337,40.71065,-73.95087,80,60,https://www.airbnb.com/rooms/55959,1,1,1
55982,Rental unit in Brooklyn 1 bedroom 1 bed 1 shared bath,264928,Private room,,30,117,40.68701,-73.97555,81,31,https://www.airbnb.com/rooms/55982,1,1,1
56859,Rental unit in New York 1 bedroom 1 bed 1 shared bath,256161,Private room,96,30,139,40.81201,-73.94452,82,30,https://www.airbnb.com/rooms/56859,2,1,1
57166,Rental unit in Astoria 1 bedroom 2 beds 1 bath,272006,Entire home/apt,93,30,81,40.77247,-73.90608,83,360,https://www.airbnb.com/rooms/57166,2,1,2
57297,Rental unit in Brooklyn 1 bedroom 1 bed 1 private bath,199392,Private room,399,30,41,40.69003,-73.99338,84,90,https://www.airbnb.com/rooms/57297,2,1,1
57618,Rental unit in New York 1 bedroom 1 bed 1 bath,274557,Entire home/apt,,30,140,40.76505,-73.98716,85,365,https://www.airbnb.com/rooms/57618,2,1,1
57874,Rental unit in New York 1 bedroom 1 bed 1 bath,276291,Entire home/apt,119,30,92,40.80747,-73.94076,86,365,https://www.airbnb.com/rooms/57874,2,1,1
58059,Rental unit in New York 1 bedroom 1 bed 1.5 baths,277379,Private room,44,30,139,40.8238,-73.94444,87,1125,https://www.airbnb.com/rooms/58059,2,1.5,1
59014,Rental unit in New York 1 bedroom 1 bed 1 bath,282927,Entire home/apt,160,30,183,40.71946,-73.98641,88,1125,https://www.airbnb.com/rooms/59014,2,1,1
59121,Rental unit in Queens 3 bedrooms 6 beds 1 bath,204539,Entire home/apt,262,30,258,40.70271,-73.8993,89,730,https://www.airbnb.com/rooms/59121,9,1,6
59709,Rental unit in New York 2 bedrooms 2 beds 1 bath,186084,Entire home/apt,325,30,58,40.7178,-73.9932,90,31,https://www.airbnb.com/rooms/59709,5,1,2
60181,Rental unit in New York 1 bedroom 1 bed 1 bath,128806,Entire home/apt,160,30,95,40.7253,-73.98028,91,1125,https://www.airbnb.com/rooms/60181,2,1,1
60457,Rental unit in New York 1 bedroom 1 bed 1 bath,99212,Entire home/apt,,30,134,40.73072,-73.99275,92,365,https://www.airbnb.com/rooms/60457,3,1,1
60611,Rental unit in New York 1 bedroom 1 bed 1 bath,292204,Entire home/apt,120,30,92,40.79267,-73.94653,93,60,https://www.airbnb.com/rooms/60611,2,1,1
60666,Rental unit in New York 1 bedroom 2 beds 1.5 baths,256161,Private room,140,30,139,40.81006,-73.94559,94,30,https://www.airbnb.com/rooms/60666,2,1.5,2
60673,Rental unit in New York 1 bedroom 1 bed 1 bath,249372,Private room,125,30,139,40.81562,-73.94674,95,365,https://www.airbnb.com/rooms/60673,2,1,1
60680,Rental unit in New York 1 bedroom 2 beds 1 bath,292630,Entire home/apt,130,30,95,40.72598,-73.97978,96,1125,https://www.airbnb.com/rooms/60680,6,1,2
60794,Rental unit in New York 3 bedrooms 3 beds 1 bath,293394,Entire home/apt,,30,320,40.79918,-73.96248,97,1125,https://www.airbnb.com/rooms/60794,6,1,3
61509,Rental unit in New York 1 bedroom 1 bed 1 bath,23619,Entire home/apt,,200,205,40.75743,-73.96825,98,730,https://www.airbnb.com/rooms/61509,3,1,1
62925,Home in Brooklyn 2 bedrooms 2 beds 2 baths,306739,Entire home/apt,335,30,133,40.72967,-73.95352,99,90,https://www.airbnb.com/rooms/62925,4,2,2
63588,Home in Bronx 2 bedrooms 2 beds 1 shared bath,295128,Private room,89,30,63,40.81161,-73.85499,100,1125,https://www.airbnb.com/rooms/63588,3,1,2
63610,Rental unit in Bronx 1 bedroom 1 bed 1 bath,310670,Entire home/apt,114,30,97,40.881,-73.83511,101,120,https://www.airbnb.com/rooms/63610,2,1,1
64015,Rental unit in New York 1 bedroom 1 bed 1 bath,146944,Entire home/apt,,30,95,40.72863,-73.9842,102,730,https://www.airbnb.com/rooms/64015,2,1,1
64314,Rental unit in Brooklyn 1 bedroom 1 bed 1 bath,314256,Private room,100,30,78,40.67634,-73.95143,103,182,https://www.airbnb.com/rooms/64314,2,1,1
64365,Home in Brooklyn 1 bedroom 1 bed 1 bath,314582,Private room,65,30,78,40.67579,-73.95072,104,365,https://www.airbnb.com/rooms/64365,2,1,1
65425,Rental unit in New York 2 bedrooms 2 beds 1 bath,314941,Entire home/apt,199,30,224,40.72021,-73.99426,105,730,https://www.airbnb.com/rooms/65425,7,1,2
65615,Rental unit in Brooklyn 1 bedroom 1 bed 1 bath,320761,Entire home/apt,,30,337,40.7106,-73.95178,106,300,https://www.airbnb.com/rooms/65615,2,1,1
65660,Rental unit in Brooklyn 1 bedroom 1 bed 1 bath,320538,Entire home/apt,118,30,337,40.70797,-73.94792,107,120,https://www.airbnb.com/rooms/65660,3,1,1
66008,Rental unit in Brooklyn 2 bedrooms 2 beds 1 bath,322884,Entire home/apt,190,30,50,40.68028,-73.99328,108,90,https://www.airbnb.com/rooms/66008,4,1,2
66251,Loft in New York Studio 1 bed 1 bath,324460,Entire home/apt,370,30,95,40.72547,-73.98619,109,60,https://www.airbnb.com/rooms/66251,2,1,1
66275,Rental unit in New York 2 bedrooms 3 beds 1 bath,314941,Entire home/apt,499,30,224,40.72036,-73.99435,110,1125,https://www.airbnb.com/rooms/66275,7,1,3
66974,Rental unit in Brooklyn 1 bedroom 1 bed 1 bath,329436,Entire home/apt,217,30,126,40.68088,-73.99102,111,270,https://www.airbnb.com/rooms/66974,2,1,1
67299,Townhouse in Brooklyn 1 bedroom 2 beds 1 bath,330347,Entire home/apt,167,30,337,40.71516,-73.96448,112,89,https://www.airbnb.com/rooms/67299,4,1,2
68253,Rental unit in Astoria 1 bedroom,67730,Private room,55,30,9,40.76336,-73.92099,113,730,https://www.airbnb.com/rooms/68253,1,,0
68735,Rental unit in New York 1 bedroom 1 bed 1 bath,342054,Entire home/apt,180,30,320,40.78846,-73.97459,114,200,https://www.airbnb.com/rooms/68735,2,1,1
69894,Rental unit in New York 1 bedroom 1 bed 1 bath,352168,Entire home/apt,162,30,320,40.77845,-73.98295,115,120,https://www.airbnb.com/rooms/69894,2,1,1
71248,Condo in New York 1 bedroom 1 bed 1 bath,363834,Entire home/apt,150,30,58,40.7159,-73.99156,116,90,https://www.airbnb.com/rooms/71248,2,1,1
71366,Condo in New York 1 bedroom 1 bed 1 bath,364955,Entire home/apt,200,30,134,40.72997,-74.00196,117,365,https://www.airbnb.com/rooms/71366,2,1,1
71384,Loft in Brooklyn 1 bedroom 2 beds 1 bath,365153,Entire home/apt,,30,133,40.72919,-73.95588,118,60,https://www.airbnb.com/rooms/71384,4,1,2
71812,Rental unit in Bronx 1 bedroom 1 bed 1 bath,369015,Entire home/apt,90,30,164,40.87069,-73.90113,119,1125,https://www.airbnb.com/rooms/71812,2,1,1
72190,Rental unit in New York 1 bedroom 2 beds 1 bath,373085,Entire home/apt,,30,320,40.77743,-73.97691,120,90,https://www.airbnb.com/rooms/72190,2,1,2
74333,Rental unit in New York 1 bedroom 1 bath,331328,Entire home/apt,80,30,92,40.80834,-73.94075,121,60,https://www.airbnb.com/rooms/74333,3,1,0
74680,Rental unit in Long Island City 1 bedroom 2 beds 1 bath,265109,Entire home/apt,124,30,9,40.77507,-73.93367,122,1125,https://www.airbnb.com/rooms/74680,4,1,2
74821,Rental unit in New York 2 bedrooms 2 beds 1 bath,394640,Entire home/apt,149,30,139,40.80874,-73.94926,123,90,https://www.airbnb.com/rooms/74821,3,1,2
74860,Rental unit in Brooklyn 1 bedroom 1 bed 1 bath,394752,Entire home/apt,,30,133,40.72364,-73.95013,124,730,https://www.airbnb.com/rooms/74860,3,1,1
75635,Rental unit in New York Studio 1 bed 1 bath,401696,Entire home/apt,120,30,183,40.71911,-73.98588,125,1125,https://www.airbnb.com/rooms/75635,3,1,1
75658,Loft in Brooklyn 1 bedroom 1 bed 1 shared bath,401921,Private room,221,30,19,40.69559,-73.95462,126,150,https://www.airbnb.com/rooms/75658,2,1,1
77765,Boutique hotel in Brooklyn 1 bedroom 1 bed 1 private bath,417504,Hotel room,172,1,133,40.73777,-73.95366,127,365,https://www.airbnb.com/rooms/77765,2,1,1
79067,Townhouse in Brooklyn 3 bedrooms 4 beds 2.5 baths,425506,Entire home/apt,330,48,66,40.68337,-73.96253,128,65,https://www.airbnb.com/rooms/79067,5,2.5,4
80493,Rental unit in New York 1 bedroom 2 beds 1 shared bath,434987,Private room,45,30,95,40.7226,-73.98545,129,30,https://www.airbnb.com/rooms/80493,2,1,2
80684,Boutique hotel in Brooklyn 1 bedroom 2 beds 1 private bath,417504,Hotel room,,1,133,40.73756,-73.9535,130,365,https://www.airbnb.com/rooms/80684,4,1,2
80700,Boutique hotel in Brooklyn 1 bedroom 2 beds 1 private bath,417504,Private room,,1,133,40.73777,-73.95366,131,365,https://www.airbnb.com/rooms/80700,4,1,2
80924,Townhouse in Brooklyn 3 bedrooms 5 beds 1.5 baths,438133,Entire home/apt,160,30,236,40.67407,-73.98105,132,1125,https://www.airbnb.com/rooms/80924,5,1.5,5
81564,Rental unit in Queens 1 bedroom 1 bed 1 bath,442605,Private room,49,30,156,40.75054,-73.86222,133,730,https://www.airbnb.com/rooms/81564,2,1,1
81739,Boutique hotel in Brooklyn 1 bedroom 2 beds 1 private bath,417504,Private room,,1,133,40.73777,-73.95366,134,365,https://www.airbnb.com/rooms/81739,4,1,2
82638,Rental unit in New York 1 bedroom 1 bed 1 bath,449787,Entire home/apt,129,31,95,40.72408,-73.98154,135,45,https://www.airbnb.com/rooms/82638,2,1,1
82928,Townhouse in Brooklyn 2 bedrooms 3 beds 1 bath,451545,Entire home/apt,165,30,19,40.68433,-73.94469,136,365,https://www.airbnb.com/rooms/82928,5,1,3
83243,Rental unit in Brooklyn 1 bedroom 2 beds 1 bath,453519,Entire home/apt,77,30,45,40.68769,-73.91788,137,60,https://www.airbnb.com/rooms/83243,3,1,2
83474,Bed and breakfast in Brooklyn 1 bedroom 1 bed 1.5 baths,260682,Private room,184,30,84,40.69132,-73.98573,138,31,https://www.airbnb.com/rooms/83474,1,1.5,1
84010,Boutique hotel in Brooklyn 1 bedroom 1 bed 1 private bath,417504,Hotel room,172,1,133,40.73777,-73.95366,139,365,https://www.airbnb.com/rooms/84010,2,1,1
89427,Rental unit in Brooklyn 1 bedroom 1.5 baths,116599,Entire home/apt,800,30,66,40.68513,-73.96648,140,365,https://www.airbnb.com/rooms/89427,10,1.5,0
89621,Rental unit in Brooklyn 2 bedrooms 2 beds 1 bath,209460,Entire home/apt,89,30,78,40.67823,-73.94719,141,365,https://www.airbnb.com/rooms/89621,4,1,2
93313,Loft in Brooklyn 2 bedrooms 4 beds 1 bath,25183,Entire home/apt,109,30,19,40.68413,-73.93817,142,1125,https://www.airbnb.com/rooms/93313,5,1,4
94783,Rental unit in Brooklyn 1 bedroom 1 bed 1.5 baths,473113,Entire home/apt,145,30,78,40.6736,-73.9551,143,90,https://www.airbnb.com/rooms/94783,2,1.5,1
96471,Condo in Brooklyn 1 bedroom 3 beds 1.5 baths,116599,Private room,171,30,66,40.68513,-73.96648,144,365,https://www.airbnb.com/rooms/96471,5,1.5,3
98663,Rental unit in New York 1 bedroom 1 bed 1 bath,520279,Entire home/apt,150,30,56,40.75077,-73.99657,145,60,https://www.airbnb.com/rooms/98663,2,1,1
100002,Rental unit in New York 1 bedroom 1 bed 1 shared bath,523218,Private room,58,30,326,40.85433,-73.9324,146,40,https://www.airbnb.com/rooms/100002,1,1,1
100186,Rental unit in Brooklyn 1 bedroom 1 bed 1 bath,526805,Entire home/apt,150,30,126,40.66952,-73.99201,147,90,https://www.airbnb.com/rooms/100186,3,1,1
100368,Rental unit in New York 1 bedroom 1 bed 1 bath,526105,Entire home/apt,198,30,56,40.74056,-74.00143,148,270,https://www.airbnb.com/rooms/100368,2,1,1
101053,Rental unit in Brooklyn 3 bedrooms 3 beds 2 baths,530032,Private room,,60,337,40.71116,-73.95484,149,90,https://www.airbnb.com/rooms/101053,4,2,3
103161,Rental unit in Brooklyn 1 bedroom 2 beds 1 bath,465278,Entire home/apt,175,30,337,40.71551,-73.96274,150,45,https://www.airbnb.com/rooms/103161,2,1,2
103311,Boutique hotel in Brooklyn 2 bedrooms 3 beds 1 private bath,417504,Private room,,1,133,40.73778,-73.95366,151,365,https://www.airbnb.com/rooms/103311,6,1,3
105469,Rental unit in Rockaway Beach 1 bedroom 1 bed 1 shared bath,547386,Private room,114,30,261,40.58603,-73.8145,152,90,https://www.airbnb.com/rooms/105469,1,1,1
106363,Rental unit in New York 1 bedroom 1 bed 1.5 baths,551055,Private room,66,30,139,40.82772,-73.95284,153,45,https://www.airbnb.com/rooms/106363,1,1.5,1
106906,Condo in Brooklyn 2 bedrooms 2 beds 1 bath,553964,Entire home/apt,185,45,66,40.68615,-73.96769,154,60,https://www.airbnb.com/rooms/106906,2,1,2
107630,Home in Brooklyn 1 bedroom 2 beds 1 bath,306739,Entire home/apt,235,30,133,40.72741,-73.95466,155,90,https://www.airbnb.com/rooms/107630,3,1,2
112304,Rental unit in New York 1 bedroom 1 bed 1 bath,573316,Private room,,30,139,40.8069,-73.95372,156,730,https://www.airbnb.com/rooms/112304,2,1,1
112435,Home in Brooklyn 1 bedroom 1 bed 1 bath,181376,Private room,95,30,117,40.69132,-73.97306,157,30,https://www.airbnb.com/rooms/112435,2,1,1
113265,Rental unit in Brooklyn 1 bedroom 1 bed 1 private bath,314582,Private room,60,30,78,40.67582,-73.9518,158,730,https://www.airbnb.com/rooms/113265,2,1,1
115535,Rental unit in New York 1 bedroom 1 bed 1 shared bath,567187,Private room,65,30,139,40.82402,-73.95263,159,365,https://www.airbnb.com/rooms/115535,1,1,1
115748,Rental unit in Long Island City 1 bedroom 1 bed 1 bath,585166,Entire home/apt,110,30,9,40.76406,-73.92266,160,30,https://www.airbnb.com/rooms/115748,2,1,1
116551,Rental unit in New York Studio 2 beds 1 bath,497672,Entire home/apt,85,30,139,40.80384,-73.95123,161,730,https://www.airbnb.com/rooms/116551,4,1,2
116940,Home in Brooklyn 1 bedroom 1 bed 1 bath,209460,Entire home/apt,80,30,19,40.67882,-73.9496,162,365,https://www.airbnb.com/rooms/116940,2,1,1
118061,Rental unit in Brooklyn 2 bedrooms 2 beds 1 bath,2248897,Entire home/apt,130,30,19,40.68462,-73.92895,163,100,https://www.airbnb.com/rooms/118061,2,1,2
